DateTime,AddedIPs,RemovedIPs
1557846123,17,0
1557847323,5,0
1557847923,4,1
1557848523,7,0
1557849123,7,0
1557849722,1,0
1557850923,7,0
1557851522,2,0
1557852123,2,0
1557854523,5,0
1557855723,16,1
1557856323,4,0
1557856923,5,0
1557859323,5,0
1557860523,10,0
1557861122,1,0
1557861722,1,0
1557862323,4,0
1557862922,6,0
1557863522,23,0
1557864123,2,0
1557865324,2,0
1557866522,3,0
1557867722,2,1
1557868923,9,0
1557869523,1,0
1557870122,2,0
1557871322,21,0
1557871923,2,0
1557873722,2,0
1557876122,1,0
1557877322,1,0
1557877922,1,0
1557878524,12,0
1557879723,3,0
1557880923,46,1
1557882123,15,0
1557883322,6,0
1557883922,1,0
1557885122,1,0
1557885723,2,0
1557886922,1,0
1557887523,7,0
1557888723,1,0
1557889322,2,0
1557889925,3,0
1557891122,2,0
1557892322,4,0
1557892923,7,0
1557894122,1,0
1557894723,5,0
1557895323,5,0
1557895923,4,0
1557896523,2,0
1557897723,1,0
1557898323,9,0
1557898922,3,0
1557899523,3,0
1557900123,4,0
1557900723,5,0
1557901923,1,0
1557903723,1,0
1557904922,3,0
1557906123,2,0
1557907322,2,0
1557907923,1,0
1557908523,5,0
1557909723,5,0
1557910924,16,1
1557912123,5,0
1557913322,10,0
1557914524,3,0
1557915723,6,0
1557916923,3,0
1557918123,1,0
1557919226,671,179
1557919323,1,0
1557920523,5,0
1557921723,1,0
1557922922,9,0
1557924123,1,0
1557925323,4,0
1557925923,1,0
1557926523,5,0
1557927722,2,0
1557928923,2,0
1557929522,2,1
1557930123,2,0
1557931323,3,0
1557932523,18,0
1557933123,1,0
1557933723,1,0
1557934923,4,0
1557936123,30,0
1557937323,4,0
1557938523,4,0
1557939122,1,0
1557939723,7,0
1557940923,2,0
1557941522,2,0
1557942123,1,0
1557944523,2,0
1557945123,1,0
1557945722,3,0
1557948122,3,0
1557949322,19,0
1557950523,4,0
1557951723,3,0
1557952323,2,0
1557952922,20,0
1557953522,1,0
1557954123,2,0
1557955323,4,0
1557955923,17,0
1557956522,16,0
1557957722,1,0
1557958923,2,0
1557960123,1,0
1557961323,2,0
1557962523,1,0
1557963723,1,0
1557964925,3,0
1557966123,29,0
1557967323,1,0
1557968523,1,0
1557969123,1,0
1557969724,1,0
1557970922,3,0
1557972123,2,0
1557973323,3,0
1557974522,34,0
1557975122,1,2
1557976923,4,0
1557977523,1,0
1557978123,24,0
1557978722,1,0
1557979323,1,0
1557979923,4,0
1557981123,2,0
1557981723,16,0
1557982323,6,0
1557982924,2,0
1557983524,17,0
1557984123,4,0
1557984723,1,0
1557985323,0,1
1557985923,3,0
1557986523,9,0
1557987722,1,0
1557988322,2,0
1557988922,5,0
1557989523,8,0
1557990123,4,0
1557990723,3,0
1557992522,18,0
1557993723,14,0
1557994923,12,0
1557996638,1,0
1557997323,7,0
1557998523,4,0
1557999123,3,0
1557999723,5,0
1558000923,2,0
1558002123,2,0
1558003322,1,0
1558004523,1,0
1558005723,1,0
1558006354,1276,316
1558008123,6,1
1558009323,1,0
1558011122,2,0
1558011723,2,0
1558012323,1,0
1558014122,3,0
1558014722,1,0
1558015923,11,0
1558016522,2,0
1558017723,2,0
1558018924,3,0
1558019522,4,0
1558020123,1,0
1558021323,1,1
1558023123,1,0
1558023724,2,0
1558024922,2,1
1558026123,1,0
1558027323,3,0
1558027923,3,0
1558028523,1,0
1558029724,8,0
1558030323,2,0
1558031523,1,0
1558032123,10,0
1558033323,17,0
1558033923,4,0
1558034523,20,0
1558035123,1,0
1558035723,3,0
1558036923,2,0
1558037522,3,0
1558038123,1,0
1558039323,4,0
1558040522,1,0
1558041722,33,0
1558042922,21,0
1558043523,17,0
1558044122,7,0
1558045322,1,0
1558047021,1,0
1558048923,13,0
1558049522,1,0
1558050124,3,0
1558050722,1,0
1558051324,3,0
1558051923,6,0
1558052523,1,0
1558053722,4,0
1558055289,1,0
1558056122,1,0
1558057323,2,0
1558058522,5,0
1558059124,1,0
1558060923,13,0
1558062122,33,0
1558062723,9,0
1558063323,1,0
1558065723,2,0
1558066323,1,0
1558066923,14,0
1558068123,1,0
1558069323,2,0
1558069923,18,0
1558070523,5,0
1558071723,2,0
1558072923,8,0
1558074123,3,0
1558075323,2,0
1558075922,1,0
1558076524,1,0
1558077125,3,0
1558077723,3,0
1558078322,19,0
1558078922,2,0
1558080123,3,0
1558080723,3,0
1558081322,6,0
1558082523,5,0
